rowNum,folder,filename,tags1,tags2,tags3,tags4,tags5,tags6,tags7,tags8,tags9
97,./cypress/e2e/Regression/ClientSide/Binding,JS_Toggle_spec.js,@tag.Binding,,,,,,,,
98,./cypress/e2e/Regression/ClientSide/Binding,TableV2_Api_spec.js,@tag.Binding,,,,,,,,
99,./cypress/e2e/Regression/ClientSide/Binding,Table_Widget_API_Pagination_spec.js,@tag.Binding,,,,,,,,
100,./cypress/e2e/Regression/ClientSide/Binding,Widgets_form_input_tableV2_default_validation_spec.js,@tag.Binding,,,,,,,,
101,./cypress/e2e/Regression/ClientSide/Binding,TableTextPagination_spec.js,@tag.Binding,,,,,,,,
102,./cypress/e2e/Regression/ClientSide/Binding,TableV2TextPagination_spec.js,@tag.Binding,,,,,,,,
103,./cypress/e2e/Regression/ClientSide/Binding,TableV2Widget_selectedRow_Input_widget_spec.js,@tag.Binding,,,,,,,,
104,./cypress/e2e/Regression/ClientSide/Binding,Table_ClientSide_Search_spec.js,@tag.Binding,,,,,,,,
105,./cypress/e2e/Regression/ClientSide/Binding,xmlParser_spec.js,@tag.Binding,,,,,,,,
106,./cypress/e2e/Regression/ClientSide/Binding,ButtonGroup_binding_spec.js,@tag.Binding,,,,,,,,
107,./cypress/e2e/Regression/ClientSide/Binding,Widgets_Dependancy_validation_spec.js,@tag.Binding,,,,,,,,
108,./cypress/e2e/Regression/ClientSide/Binding,InputWidget_Table_Sorting_spec.js,@tag.Binding,,,,,,,,
109,./cypress/e2e/Regression/ClientSide/Binding,Table_Style_ToggleJS_spec.js,@tag.Binding,,,,,,,,
110,./cypress/e2e/Regression/ClientSide/Binding,Table_Api_spec.js,@tag.Binding,,,,,,,,
111,./cypress/e2e/Regression/ClientSide/Binding,Api_withPageload_Input_spec.js,@tag.Binding,,,,,,,,
112,./cypress/e2e/Regression/ClientSide/Binding,TableWidgets_NavigateTo_Validation_spec.js,@tag.Binding,,,,,,,,
113,./cypress/e2e/Regression/ClientSide/Binding,Table_selectedRow_Input_spec.js,@tag.Binding,,,,,,,,
114,./cypress/e2e/Regression/ClientSide/Binding,InputWidget_TableV2_Sorting_spec.js,@tag.Binding,,,,,,,,
115,./cypress/e2e/Regression/ClientSide/Binding,Table_Widget__CondtionalFormatting_spec.js,@tag.Binding,,,,,,,,
116,./cypress/e2e/Regression/ClientSide/Binding,TableV2_DefaultSearch_Input_spec.js,@tag.Binding,,,,,,,,
117,./cypress/e2e/Regression/ClientSide/Binding,No_Binding_Prompt_spec.js,@tag.Binding,,,,,,,,
118,./cypress/e2e/Regression/ClientSide/Binding,SmartSubstitutionWidgets_spec.js,@tag.Binding,,,,,,,,
119,./cypress/e2e/Regression/ClientSide/Binding,TableV2_ClientSide_Search_spec.js,@tag.Binding,,,,,,,,
120,./cypress/e2e/Regression/ClientSide/Binding,Invalid_binding_spec.js,@tag.Binding,,,,,,,,
121,./cypress/e2e/Regression/ClientSide/AuditLogs,Audit_logs_spec.js,@tag.Settings,,,,,,,,
122,./cypress/e2e/Regression/ClientSide/BugTests,Bug14987_spec.js,@tag.Datasource,@tag.Settings,,,,,,,
